String,Alias,Link
Natural Killer Cells,,https://www.immunology.org/public-information/bitesized-immunology/cells/natural-killer-cells
B Cells,,https://www.immunology.org/public-information/bitesized-immunology/cells/b-cells
Basophil,,https://www.immunology.org/public-information/bitesized-immunology/cells/basophils
Helper T cell,CD4+ T Cell,https://www.immunology.org/public-information/bitesized-immunology/cells/helper-and-cytotoxic-t-cells
Cytotoxic T Cell,CD8+ T Cell,https://www.immunology.org/public-information/bitesized-immunology/cells/helper-and-cytotoxic-t-cells
Dendritic Cell,,https://www.immunology.org/public-information/bitesized-immunology/cells/dendritic-cells
Eosinophils,,https://www.immunology.org/public-information/bitesized-immunology/cells/eosinophils
Macrophage,,https://www.immunology.org/public-information/bitesized-immunology/cells/macrophages
Mast Cell,,https://www.immunology.org/public-information/bitesized-immunology/cells/mast-cells
Neutrophil,,https://www.immunology.org/public-information/bitesized-immunology/cells/neutrophils
Regulatory T Cell,Treg,https://www.immunology.org/public-information/bitesized-immunology/cells/regulatory-t-cells-tregs
T follicular helper cell,,https://www.immunology.org/public-information/bitesized-immunology/cells/t-follicular-helper-cells
bone marrow,,https://www.immunology.org/public-information/bitesized-immunology/organs-and-tissues/bone-marrow
lymph node,,https://www.immunology.org/public-information/bitesized-immunology/organs-and-tissues/lymph-node
complement system,,https://www.immunology.org/public-information/bitesized-immunology/systems-and-processes/complement-system
phagocytosis,,https://www.immunology.org/public-information/bitesized-immunology/systems-and-processes/phagocytosis
